# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.orphan.listener.update.ms,1735140522530000000,1735140582819000000,3
workspaceModel.mutableEntityStorage.add.entity.ms,1735140522530000000,1735140582819000000,96
workspaceModel.mutableEntityStorage.to.snapshot.ms,1735140522530000000,1735140582819000000,7
workspaceModel.mutableEntityStorage.resolve.ms,1735140522530000000,1735140582819000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1735140522530000000,1735140582819000000,73
workspaceModel.global.updates.ms,1735140522530000000,1735140582819000000,14
workspaceModel.moduleBridge.update.option.ms,1735140522530000000,1735140582819000000,0
jps.facet.change.listener.before.change.events.ms,1735140522530000000,1735140582819000000,0
jps.global.handle.changed.events.ms,1735140522530000000,1735140582819000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1735140522530000000,1735140582819000000,21
jps.app.storage.content.reader.load.component.ms,1735140522530000000,1735140582819000000,19
workspaceModel.mutableEntityStorage.replace.by.source.ms,1735140522530000000,1735140582819000000,44
workspaceModel.moduleBridge.before.changed.ms,1735140522530000000,1735140582819000000,0
jps.save.changed.project.entities.ms,1735140522530000000,1735140582819000000,0
VFS.contentStorage.recordsRead,1735140522530000000,1735140582819000000,38
VFS.fileByIdCache.hits,1735140522530000000,1735140582819000000,0
VFS.contentStorage.recordsStored,1735140522530000000,1735140582819000000,0
VFS.contentStorage.recordsStoredCompressed,1735140522530000000,1735140582819000000,0
FileNameCache.totalMisses,1735140522530000000,1735140582819000000,2624
FileNameCache.queries,1735140522530000000,1735140582819000000,132288
VFS.fileByIdCache.misses,1735140522530000000,1735140582819000000,316
VFS.contentStorage.recordsDecompressionTimeUs,1735140522530000000,1735140582819000000,5725
VFS.contentStorage.recordsStoredSize,1735140522530000000,1735140582819000000,0
VFS.contentStorage.recordsReadDecompressed,1735140522530000000,1735140582819000000,14
VFS.contentStorage.recordsReadSize,1735140522530000000,1735140582819000000,355681
